id,50,10,5,2,1,sentence
G10_Classics_07_shanhaijing_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,5,5,1,0,0,4
G10_Classics_07_shanhaijing_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,2,2,2,1,0,2
G10_Classics_07_shanhaijing_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,1,1,1,1,0,1
G10_Classics_07_shanhaijing_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_07_shanhaijing_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_07_shanhaijing_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,4,4,4,3,0,3
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,2,2,2,0,0,2
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,12,12,6,1,0,5
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,67,67,50,23,17,43
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,3,3,1,0,0,0
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,13,13,6,2,2,11
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,10,10,5,4,2,3
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,129,129,90,22,15,66
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,14,14,3,2,1,5
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,25,25,20,4,2,10
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,6,6,5,2,2,3
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,111,111,68,30,16,44
G10_Classics_09_jingshiyizhuan_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_09_jingshiyizhuan_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_09_jingshiyizhuan_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,48,48,24,9,2,27
G10_Classics_09_jingshiyizhuan_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_09_jingshiyizhuan_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_09_jingshiyizhuan_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_09_jingshiyizhuan_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,15,15,5,2,1,12
G10_Classics_09_jingshiyizhuan_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,1,1,1,1,0,1
G10_Classics_09_jingshiyizhuan_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_09_jingshiyizhuan_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,12,12,8,6,3,7
G10_Classics_09_jingshiyizhuan_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_09_jingshiyizhuan_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,5,5,4,1,1,3
G10_Classics_10_shishuo_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_10_shishuo_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_10_shishuo_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,16,16,7,3,0,14
G10_Classics_10_shishuo_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_10_shishuo_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,8,8,3,1,0,7
G10_Classics_10_shishuo_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_10_shishuo_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,3,3,2,1,1,2
G10_Classics_10_shishuo_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_10_shishuo_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_10_shishuo_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,7,7,4,3,2,4
G10_Classics_10_shishuo_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,3,3,2,2,0,2
G10_Classics_10_shishuo_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_01_shuowenjiezi_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_01_shuowenjiezi_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,3,3,2,0,0,2
G11_Etymology_01_shuowenjiezi_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,31,31,21,12,11,21
G11_Etymology_01_shuowenjiezi_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,1,1,1,0,0,0
G11_Etymology_01_shuowenjiezi_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,15,15,10,3,1,6
G11_Etymology_01_shuowenjiezi_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_01_shuowenjiezi_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,15,15,7,2,1,6
G11_Etymology_01_shuowenjiezi_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,5,5,4,2,2,2
G11_Etymology_01_shuowenjiezi_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,1,1,0,0,0,0
G11_Etymology_01_shuowenjiezi_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,8,8,7,4,4,5
G11_Etymology_01_shuowenjiezi_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,3,3,3,2,2,2
G11_Etymology_01_shuowenjiezi_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,4,4,3,1,1,3
G11_Etymology_02_erya_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_02_erya_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_02_erya_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,6,6,4,2,1,6
G11_Etymology_02_erya_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_02_erya_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_02_erya_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_02_erya_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_02_erya_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_02_erya_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_02_erya_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_02_erya_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,1,1,0,0,0,0
G11_Etymology_02_erya_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_03_shiming_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,1,1,0,0,0,1
G11_Etymology_03_shiming_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,1,1,0,0,0,1
G11_Etymology_03_shiming_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_03_shiming_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_03_shiming_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_03_shiming_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_03_shiming_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,1,1,0,0,0,0
G11_Etymology_03_shiming_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,1,1,1,0,0,1
G11_Etymology_03_shiming_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_03_shiming_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_03_shiming_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_03_shiming_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_04_fangyan_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_04_fangyan_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_04_fangyan_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_04_fangyan_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_04_fangyan_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_04_fangyan_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_04_fangyan_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,1,1,0,0,0,0
G11_Etymology_04_fangyan_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_04_fangyan_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G11_Etymology_04_fangyan_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,1,1,0,0,0,0
G11_Etymology_04_fangyan_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
